CardName,TaxDate,NumAtCard,U_CUINNUMBER,Taxable Amount,VAT AMOUNT
POLYVALENT ENTERPRISES D,30/08/2023,277,0170920530000000583,12782.31,2045.17
CRYSTAL FROZEN AND CHILLED FOODS LTD,26/08/2023,159815,0010193880000011332,110742.69,17718.83
NAIROBI JAVA HOUSE LTD,30/08/2023,JH01-02584467,0020109660000014968,23563.25,3770.12
MILL BAKERS LIMITED,31/08/2023,C163138,0040078880000075569,7590.5,1214.48
BURHANI BAKERS,30/08/2023,8872,0190329250000005038,4950.63,792.1
R D ENTERPRISES LTD,30/08/2023,3379,0040794290000000556,59500.0,9520.0
FAYAZ BAKERS LIMITED DIANI SHELF,31/08/2023,INV/2023/005413,0041411750000001978,2896.56,463.45
VIVA GLOBAL LIMITED,30/08/2023,148069,0090542210000007480,228955.13,36632.82
NEW KCC LTD,31/08/2023,95122056,0190428740000101903,3238.94,518.23
RAZCO LTD,20/07/2023,2306006726,0190407180000027444,64542.0,10326.72
KENAFRIC BAKERY LTD,31/08/2023,956301,0010195680000099193,502.5,80.4
DEVYANI FOOD INDUSTRIES K LIMITED,31/08/2023,9730264663,0040094810000166692,23356.0,3736.96
DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,30/08/2023,9730264664,0040094810000166693,11952.69,1912.43
CHANDARIA INDUSTRIES LTD MACCOFFEE,23/08/2023,1542872,0110167020000173158,51166.75,8186.68
VIVA GLOBAL LIMITED,30/08/2023,148053,0090542210000007462,21985.31,3517.65
KENAFRIC BAKERY LTD,31/08/2023,956263,0010195680000099129,963.0,154.08
HUSEINI BAKERY LTD,23/08/2023,35720,0172171000000000097,18331.0,2932.96
BIGCOLD KENYA SIMPLIFINE SHELF BREAD,22/08/2023,SINV101932,0190434240000028448,1265.31,202.45
BIGCOLD KENYA SIMPLIFINE SHELF BREAD,23/08/2023,SINV101874,0190434240000028408,932.44,149.19
FIRST DRINKS KENYA LTD SR,31/08/2023,FD000036,0090783700000000196,3439.69,550.35
BURHANI BAKERS,24/08/2023,8867,0190329250000004930,4086.63,653.86
FARMERS CHOICE LTD DELI,24/08/2023,SI+N000293633,0090541490000061750,18225.06,2916.01
KENAFRIC BAKERY LTD,31/08/2023,956334,0010195680000099147,2778.0,444.48
FARMERS CHOICE LTD,24/08/2023,SI+N000293756,0090541490000061749,79008.38,12641.34
DION WINE AND SPIRIT E A LIMITED,18/08/2023,INV41920,0170954920000007883,117000.0,18720.0
CHANDARIA INDUSTRIES LTD MACCOFFEE,03/08/2023,1527241,0110167020000164364,48135.0,7701.6
LOREAL E A LIMITED HQ,25/08/2023,230113629,0020112070000013427,24404.19,3904.67
HASBAH KENYA LTD CADBURY,26/08/2023,NYRINV5008819,0090972930000024981,244434.19,39109.47
DPL FESTIVE  LIMITED,30/08/2023,5402476,0020108550000332504,3744.25,599.08
MERIT AFRICA LTD,28/08/2023,127451,0110164060000011209,13290.0,2126.4
CRYSTAL FROZEN AND CHILLED FOODS LTD,30/08/2023,159952,0010193880000011409,46897.44,7503.59
MELVIN MARSH INTERNATIONAL LTD,22/08/2023,INV51305,0020108020000008912,18277.0,2924.32
TRUFOODS LIMITED T F,26/08/2023,INV-39343,0110159690000021844,120927.5,19348.4
KHETIA DRAPERS LTD,22/08/2023,447408,0110394360000005519,21009.44,3361.51
KENAFRIC BAKERY LTD,31/08/2023,956249,0010195680000099167,1452.0,232.32
TAIFA  IMPORTS LIMITED,23/08/2023,IN-234282,0020115070000008005,7254.44,1160.71
BIO FOOD PRODUCTS LTD,22/08/2023,1061208,0190979930000001333,28569.19,4571.07
BROOKSIDE DAIRY,21/08/2023,2308221060,0040095430000166326,33608.44,5377.35
BIC EAST AFRICA LIMITED,21/08/2023,23003417 RI,0190434490000004551,10711.06,1713.77
NEW KCC LTD,31/08/2023,95122140,0190428740000101987,430.06,68.81
KANYANGOLD ABERDARE PARMESSAN CHEESE,31/08/2023,213176,0110156540000000628,16034.5,2565.52
SUPERSLEEK LIMITED,30/08/2023,178550,0040075150000014785,17237.5,2758.0
KIM FAY EAST AFRICA LTD,31/08/2023,IN587616,0110167480000043962,17422.75,2787.64
WORLD BRANDS K LTD HQ,29/08/2023,061435,0040094050000013066,27082.75,4333.24
WORLD BRANDS K LTD HQ,29/08/2023,061433,0040094050000013064,52522.0,8403.52
SOYS LIMITED,30/08/2023,2094407,0040092680000021227,55352.56,8856.41
DPL FESTIVE  LIMITED,31/08/2023,5402594,0020108550000332586,1750.25,280.04
TOWFIQ  K  LIMITED HQ,29/08/2023,5106283,0020107030000321487,45800.06,7328.01
MERIT AFRICA LTD,24/08/2023,127317,0110164060000011102,18417.75,2946.84
RAMJI HARIBHAI DEVANI LTD,07/08/2023,292448,0020108780000023070,19504.44,3120.71
FOODS BY LIKII LIMITED,25/08/2023,FBL1831,0170513060000000159,3600.0,576.0
SUPA BRITE LTD,17/08/2023,SO109588,0190430080000004200,13999.69,2239.95
SUPER SAVERS DISTRIBUTION LTD,17/08/2023,NIN6230,0110399940000001436,38627.06,6180.33
NG WINDSONG KENYA LTD,18/08/2023,02754,0040274730000002754,14691.5,2350.64
WOODLANDS COMPANY LTD,31/08/2023,1836,0040260200000000492,12879.31,2060.69
ON DEMAND DISTRIBUTION HOUSE,03/08/2023,S06109,0040093850000003345,7978.69,1276.59
N T HEISH LIMITED SR,16/08/2023,150,0190173420000000169,1524.13,243.86
CAROLINES CUPCAKES SR,17/08/2023,INV-00/3/002690,0040131510000001602,3501.75,560.28
BROOKSIDE DAIRY,25/08/2023,230825C4011,0040095430000169093,23613.56,3778.17
BENCHMARK DISTRIBUTORS LTD,25/08/2023,169465,0190429970000002295,139857.06,22377.13
ARYUV AGENCIES LTD,30/08/2023,128210,0110391800000012194,29808.0,4769.28
KINGSLEY BEVERAGES K LIMITED,25/08/2023,1244,0430829920000000465,2689.69,430.35
MIBISCO LTD,23/08/2023,359509,0170495940000047768,1544.88,247.18
DPL FESTIVE  LIMITED,30/08/2023,5402472,0020108550000332501,3073.69,491.79
BIDCO AFRICA LTD,29/08/2023,91468899,0090969730000026230,180323.56,28851.77
KENAFRIC BAKERY LTD,30/08/2023,955373,0010195670000071812,906.0,144.96
JESSICA INTERNATIONAL,22/08/2023,3722,0210354770000000456,6907.69,1105.23
KENAFRIC BAKERY LTD,31/08/2023,956297,0010192830000066804,2094.0,335.04
DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,30/08/2023,9730264761,0040094820000030214,14247.63,2279.62
KHETIA DRAPERS LTD,22/08/2023,062-00021005,0110394370000013557                              *STROKESCRIBE.COM FREE*,15041.38,2406.62
ROSHNI DIST LTD  R D,09/08/2023,0351396,0110400270000011491,187417.44,29986.79
SESIA LIMITED,23/08/2023,20437,0040549250000002492,23052.0,3688.32
DPL FESTIVE  LIMITED,31/08/2023,5402573,0020108550000332573,4106.94,657.11
VIVA GLOBAL LIMITED,30/08/2023,148061,HTTPS://ITAX.KRA.GO.KE/KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGNE&INVOICENO=0090542210000007475,38092.69,6094.83
CRYSTAL FROZEN AND CHILLED FOODS LTD,30/08/2023,159969,0010193880000011408,66216.75,10594.68
SUPERSLEEK LIMITED,30/08/2023,178543,0040075150000014778,12642.81,2022.85
CRYSTAL FROZEN AND CHILLED FOODS LTD,31/08/2023,160033,0010193880000011429,109310.25,17489.64
CRYSTAL FROZEN AND CHILLED FOODS LTD,24/08/2023,159459,0010193880000011099,26571.75,4251.48
CRYSTAL FROZEN AND CHILLED FOODS LTD,31/08/2023,160044,0010193880000011427,10862.06,1737.93
CHOICE MEATS BEEF PLANT,24/08/2023,SI000140820,0090541490000060255,887.94,142.07
TAIFA  IMPORTS LIMITED,23/08/2023,IN-234275,0020115070000007998,12957.5,2073.2
MIBISCO LTD,23/08/2023,359495,0170495940000047754,2679.31,428.69
MIBISCO LTD,22/08/2023,359281,0170495940000047530,943.13,150.9
VIVA GLOBAL LIMITED,30/08/2023,148072,0090542210000007483,17416.56,2786.65
NEW KCC LTD,31/08/2023,95121985,0190428740000101832,1361.25,217.8
STATPACK INDUSTRIES LTD,30/08/2023,CI23-3007,0090969110000021841,17135.38,2741.66
NATURES HEALTH LTD,23/08/2023,5655,0040912930000001513,969.81,155.17
VIVA GLOBAL LIMITED,30/08/2023,148042,0090542210000007454,14579.38,2332.7
NEW KCC LTD,31/08/2023,95122050,0190428740000101897,1423.19,227.71
TOP FOOD EA LTD,21/08/2023,55214,0040563010000007092,12122.13,1939.54
ROSHNI DIST LTD  R D,16/08/2023,0351496,0110400270000011601,224623.44,35939.75
MIBISCO LTD,23/08/2023,359459,0170495940000047717,4125.88,660.14
KENYA NUT COMPANY,22/08/2023,1130286,0020110750000019363,11040.0,1766.4
SMART BRANDS LTD HQ,23/08/2023,IN-978607,0020115030000010082,101675.13,16268.02
STEELWOOL AFRICA LTD,22/08/2023,201934,0190407920000009584,40479.38,6476.7
PERNOD RICARD KENYA,09/08/2023,SI029813,0110164380000003640,170643.69,27302.99
BEBALYSA ENTERPRISES LIMITED,23/08/2023,7665,0041168140000001197,10820.63,1731.3
C AND R FOOD INDUSTRIES LTD,30/08/2023,47150,0010193440000004106,23048.25,3687.72
SUPERSLEEK LIMITED,29/08/2023,178506,0040075150000014741,30411.81,4865.89
NEW KCC LTD,30/08/2023,95120526,0190428770000011087,2979.5,476.72
NEW KCC LTD,31/08/2023,95121634,0190428770000011077,16903.69,2704.59
UNGA LTD,14/08/2023,920060732,0040088650000004509,30573.69,4891.79
BROOKSIDE DAIRY,26/08/2023,2308261460,0040095420000000002,982.81,157.25
NEW KCC LTD,31/08/2023,95122002,0190428740000101849,2731.44,437.03
HASBAH KENYA LTD P AND G,25/08/2023,KSMINV3027017,0090972940000018130,35103.31,5616.53
CHOICE MEATS BEEF PLANT,24/08/2023,B_SI000140818,0090541490000060253,8017.31,1282.77
P Z CUSSONS AND COMPANY LTD HQ,30/08/2023,112368567,0110167920000008688,24576.81,3932.29
NAJI SUPERSTORES,22/08/2023,955,0110386490000000418,25278.56,4044.57
UNGA LTD,30/08/2023,910097853,0040095900000012690,7232.69,1157.23
BIGCOLD KENYA SIMPLIFINE SHELF BREAD,23/08/2023,SINV101875,0190434240000028409,435.19,69.63
KHETIA DRAPERS LTD,22/08/2023,062-00021009,0110394370000013561                              *STROKESCRIBE.COM FREE*,3419.0,547.04
AQUAPET AND STATIONERS LTD,22/08/2023,INV/01578,0170493470000034330,1847.63,295.62
RUPA  MILLS  LIMITED-UTILITIES,31/08/2023,0040563120000002970,0040563120000002970,1021430.0,163428.8
AIR COOL REFRIGERATION E LTD,31/08/2023,0110679290000000048,0110679290000000048,6000.0,960.0
AIR COOL REFRIGERATION E LTD,26/08/2023,0110679290000000047,0110679290000000047,50000.0,8000.0
AIR COOL REFRIGERATION E LTD,26/08/2023,0110679290000000046,0110679290000000046,40000.0,6400.0
HOTPOINT APPLIANCES SR HQ,24/08/2023,00201114100000037851,00201114100000037851,135504.31,21680.69
HEALTHY U IMPORTED 1F UK FOOD,30/08/2023,0020114550000015713,0020114550000015713,34831532.25,5573045.16
MIBISCO LTD,23/08/2023,359424,0170495940000047681,2356.94,377.11
QUALITY MEAT PACKERS LTD,24/08/2023,721533,0110400110000074631,15899.94,2543.99
TAIFA  IMPORTS LIMITED,23/08/2023,IN-234276,HTTPS://0020115070000007999,12103.44,1936.55
KENYA NUT COMPANY,22/08/2023,1130305,HTTPS://0020110750000019382,276009.0,44161.44
GOOSEBERRY DELIGHT LTD SR,11/08/2023,598,HTTPS://0040265620000000240 HTTPS://0040265620000000239,15517.25,2482.76
KAPUTEI FARM P LIMITED,21/08/2023,23913,HTTPS://0090969860000003947,8528.69,1364.59
GROUPACO HOLDINGS LTD,18/08/2023,GHL 9882,HTTPS://0190436350000003997,6477.56,1036.41
SAVANNAH BRANDS COMPANY LIMITED,18/08/2023,49414,HTTPS://0020112050000014837,49401.0,7904.16
BIC EAST AFRICA LIMITED,28/08/2023,23003544 RI,0190434490000004674,20936.56,3349.85
WORLD BRANDS K LTD HQ,24/08/2023,061278,0040094050000012832,54620.69,8739.31
ALISON PRODUCTS LTD,25/08/2023,58619,0190978710000009797,21441.25,3430.6
BROOKSIDE DAIRY,30/08/2023,2308311965,HTTPS://0040095410000332491,42740.5,6838.48
KIM FAY EAST AFRICA LTD,30/08/2023,IN587468,HTTPS://0110167480000043807,17424.69,2787.95
DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,21/08/2023,9730262077,0040094810000163430,14374.88,2299.98
DEVYANI FOOD INDUSTRIES K LIMITED,25/08/2023,9730263298,0040094850000009926,10319.0,1651.04
MERAKI FOODS LIMITED,31/08/2023,10932,HTTPS://0191025570000002448,20547.44,3287.59
TROPIKAL BRANDS  AFRICA LTD,30/08/2023,INV123155,0040559290000013483,105757.38,16921.18
CHANDARIA INDUSTRIES LTD MACCOFFEE,30/08/2023,1548923,HTTPS://0110167020000176807,36090.75,5774.52
CHANDARIA INDUSTRIES  LTD KENTASTE,30/08/2023,1548912,HTTPS://0110167020000176797,11840.69,1894.51
CHANDARIA INDUSTRIES LTD MACCOFFEE,31/08/2023,1548925,HTTPS://0110167020000176810,116.38,18.62
ROSAKIND EA LIMITED,28/08/2023,52018,HTTPS://0040762670000003498,4717.25,754.76
GLACIER PRODUCTS LTD G P,30/08/2023,448225,HTTPS://0190980220000006268,52888.31,8462.13
GLACIER PRODUCTS LTD 2ND,30/08/2023,448543,HTTPS://0190438080000031004,44948.56,7191.77
SUNPOWER PRODUCTS LTD,24/08/2023,1185752,HTTPS://0040091730000053951,15394.5,2463.12
KENCHIC FROZEN,28/08/2023,KSIN4687633.,HTTPS://0020594590000077775,14181.44,2269.03
KENCHIC FROZEN,25/08/2023,KSIN4687633-GRT,HTTPS://0020594590000077775,14181.44,2269.03
BEIERSDORF EAST AFRICA LTD HQ,25/08/2023,9056100564,HTTPS://0020110880000006472,16652.56,2664.41
EAST AFRICA STAR BAKERY,31/08/2023,137284,HTTPS://0041427950000000862,6250.0,1000.0
POLYTHENE INDUSTRIES LIMITED,26/08/2023,188657,0090969180000008856,52900.0,8464.0
STORESOME TRADING CO LTD SR,29/08/2023,19316,HTTPS://0040074400000012686,34551.75,5528.28
SALIM WAZARAN KENYA CO. LTD,25/08/2023,SDM-PSI0235009,HTTPS://0040095340000007502,23923.44,3827.75
ARYUV AGENCIES LTD,31/08/2023,128255,0110391800000012260,18347.56,2935.61
BROOKSIDE DAIRY,24/08/2023,2308250829,0040095420000354199,16756.94,2681.11
SUNDRIES BARGAIN NAIROBI LTD,17/08/2023,207904,0010194020000012597,19982.75,3197.24
MJENGO LIMITED,30/08/2023,2119069,0110145120000071794,17515.0,2802.4
BROOKSIDE DAIRY,25/08/2023,2308260827,0040095420000355837,32276.31,5164.21
ASSOCIATED BEVERAGES LIMITED,18/08/2023,6236,0040091960000002028,4551.75,728.28
BIO FOOD PRODUCTS LTD,25/08/2023,6005207,HTTPS://0190979930000001910,18787.69,3006.03
KENYA NUT WINES,24/08/2023,1130393,HTTPS://0020110750000019539,27948.0,4471.68
JOS HANSEN AND SOEHNE E.A LTD,23/08/2023,JHSW45695,0190432050000002126,3491.38,558.62
FARMERS CHOICE LTD DELI,31/08/2023,SI+N000297923,HTTPS://0090541490000065558,5780.31,924.85
EAST AFRICA UNILEVER  K  U L,24/08/2023,5230253674,HTTPS://0110161060000007833,13843.5,2214.96
FARMERS CHOICE LTD,31/08/2023,SI+N000298723,HTTPS://0090541490000066151,53484.0,8557.44
CHANDARIA INDUSTRIES LTD MACCOFFEE,24/08/2023,1544081,0110167020000173903,11967.69,1914.83
NATURES TASTES LIMITED,22/08/2023,841,HTTPS://2760869420000000841,4551.75,728.28
KIJANI COMMODITIES LID,22/08/2023,74,HTTPS://0040118730000000730,3527.0,564.32
KENAFRIC BAKERY LTD,31/08/2023,956549,0010195680000099307,1674.0,267.84
BLUE BUBBLE HOMECARE PRODUCTS,30/08/2023,BB-13405,HTTPS://0040421360000009284,5793.13,926.9
KENCHIC FROZEN,31/08/2023,KSIN4689988,0020594590000081174,10853.69,1736.59
FARMERS CHOICE LTD,31/08/2023,SI+N000298629,HTTPS://0090541490000065821,160338.06,25654.09
BIO FOOD PRODUCTS LTD,31/08/2023,1062483,HTTPS://0190979930000003053,4606.69,737.07
DPL FESTIVE  LIMITED,30/08/2023,5402666,0020108550000332638,2996.0,479.36
GLACIER PRODUCTS LTD 2ND,30/08/2023,448248,HTTPS://0190980220000006279,5741.38,918.62
SPARKLE BRANDS LIMITED,30/08/2023,SI0015738,HTTPS://0020112570000005079,74586.94,11933.91
BIO FOOD PRODUCTS LTD,31/08/2023,1062484,HTTPS://0190979930000003054,27571.0,4411.36
KENAFRIC BAKERY LTD,31/08/2023,956300,0010195680000099144,315.0,50.4
BIO FOOD PRODUCTS LTD,31/08/2023,1062484.,HTTPS://0190979930000003054,26640.0,4262.4
DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,30/08/2023,9730264846,0040094810000155817,1903.44,304.55
KIM FAY EAST AFRICA LTD,30/08/2023,IN587614,HTTPS://0110167480000043973,21780.88,3484.94
GLACIER PRODUCTS LTD G P,30/08/2023,448334,HTTPS://0190979210000028274,25479.63,4076.74
SIERRA PREMIUM BREWERIES,31/08/2023,IN004975,0040071940000003927,16551.75,2648.28
THE BILTONG MASTERS LTD SR,31/08/2023,0036,HTTPS://0041179820000000124,12150.0,1944.0
COCA COLA BEVERAGES  KENYA LTD,31/08/2023,1222332019,0110604780000068507,89554.5,14328.72
MIBISCO LTD,23/08/2023,359505,0170495940000047764,2818.94,451.03
BROOKSIDE DAIRY,15/08/2023,2308161209,HTTPS://0040095420000346925,26543.63,4246.98
ENOVA INDUSTRIES LIMITED,17/08/2023,75729,HTTPS://0170519390000016250,10704.38,1712.7
DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,30/08/2023,9730264661,HTTPS://0040094810000166682,27889.56,4462.33
AQUAMIST LIMITED,30/08/2023,90234719,HTTPS://0110392400000071281,89817.63,14370.82
MELVIN MARSH INTERNATIONAL LTD,23/08/2023,INV51345,0020108020000008944,12830.0,2052.8
SUMO FOODS LIMITED SR,24/08/2023,2058,HTTPS://0170951500000000731,3258.63,521.38
MIBISCO LTD,22/08/2023,359287,0170495940000047536,634.5,101.52
BEIERSDORF EAST AFRICA LTD HQ,23/08/2023,9056100738,HTTPS://0020110880000006778,35412.06,5665.93
KENYA NUT COMPANY,22/08/2023,1130303,HTTPS://0020110750000019380,100292.0,16046.72
MIBISCO LTD,23/08/2023,359504,HTTPS://0170495940000047763,355.19,56.83
VERUM DIMENSIONS LIMITED SR,25/08/2023,1174,HTTPS://0110155590000001056,15662.06,2505.93
GLACIER PRODUCTS LTD 2ND,30/08/2023,448413,HTTPS://0190979210000028292,7913.81,1266.21
HIGHLANDS DRINKS LIMITED,29/08/2023,372495,0110164390000018144,3932.0,629.12
BIO FOOD PRODUCTS LTD,31/08/2023,6005281,HTTPS://0190979930000003086,41536.56,6645.85
DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,30/08/2023,9730264745,HTTPS://ITAX.KRA.GO.KE/kra-pORTAL/INVOICEcHK.HTM?ACTIONcODE=LOADpAGE&INVOICEnO=0040094840000005998,9965.06,1594.41
BIDCO AFRICA LTD,30/08/2023,91469197,HTTPS://0090969730000026497,353497.88,56559.66
MIBISCO LTD,25/08/2023,E28998,0170495930000009756,5727.56,916.41
SIDDHAM BEVERAGES LIMITED,24/08/2023,78560,0190406900000007613,28985.94,4637.75
NATURES RECIPES LIMITED SR,22/08/2023,#518,HTTPS://0040013290000000518,3827.56,612.41
MIRAGE INDUSTRIES LTD,25/08/2023,14372,HTTPS://0190330930000000904,9543.5,1526.96
ROSAKIND EA LIMITED,17/08/2023,51749,HTTPS://0040762670000003322,19018.13,3042.9
BROOKSIDE DAIRY,30/08/2023,2308312069,HTTPS://0040095430000174054,187987.25,30077.96
ZENKO KENYA LIMITED,25/08/2023,INMSA300037057,0190433770000075566,36776.75,5884.28
DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,30/08/2023,9730264837,HTTPS://0040094810000166763,4204.13,672.66
KENAFRIC BAKERY LTD,31/08/2023,956302,0010195680000099135,1236.0,197.76
DEVYANI FOOD INDUSTRIES K LIMITED,30/08/2023,9730264608,HTTPS://0040094810000166557,37632.56,6021.21
DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,30/08/2023,9730264808,0040094810000166784,23851.81,3816.29
KENAFRIC BAKERY LTD,31/08/2023,956355,0010192830000066789,1157.5,185.2
DPL FESTIVE  LIMITED,31/08/2023,5402588,0020108550000332584,2556.38,409.02
KABATI DAIRY,31/08/2023,5564,HTTPS://0040242100000000543,6431.88,1029.1
BROOKSIDE DAIRY,27/08/2023,2308281307,HTTPS://0040095430000170922,29511.63,4721.86
BROOKSIDE DAIRY,26/08/2023,2308271063,HTTPS://0040095430000170153,5183.0,829.28
LOREAL E A LIMITED HQ,31/08/2023,230114324,HTTPS://0020112070000014090,31629.56,5060.73
ROSHNI DIST LTD  R D,22/08/2023,0351753,0110400270000011879,211569.88,33851.18
DPL FESTIVE  LIMITED,30/08/2023,5402639,0020108550000332618,2453.94,392.63
BURHANI BAKERS,30/08/2023,8873,HTTPS://0190329250000005037,2375.0,380.0
MIBISCO LTD,27/08/2023,360237,HTTPS://0171383770000000472,1669.0,267.04
MIBISCO LTD,26/08/2023,360015,HTTPS://0171383770000000286,3453.5,552.56
KIM FAY EAST AFRICA LTD,31/08/2023,IN587618,HTTPS://0110167480000043958,13067.0,2090.72
DPL FESTIVE  LIMITED,30/08/2023,5402596,0020108550000332580,826.0,132.16
CHANDARIA INDUSTRIES  LTD,24/08/2023,1544266,HTTPS://0110167020000174034,107357.75,17177.24
SPICE WORLD LTD,30/08/2023,SWL 1131513,HTTPS://0010168820000027333,3413.81,546.21
SPICE WORLD LTD,29/08/2023,SWL 1131477,HTTPS://0010168820000027303,4055.19,648.83
EQUATORIAL NUTS PROCESSORS LTD,28/08/2023,42775,0040133760000000217,2793.13,446.9
BIC EAST AFRICA LIMITED,28/08/2023,23003510 RI,0190434490000004641,9413.69,1506.19
BROOKSIDE DAIRY,27/08/2023,2308281614,0040095410000329080,20746.94,3319.51
KEVIAN KENYA LTD,08/08/2023,KKL05073553,0040092770000017463,108220.88,17315.34
EXCEL CHEMICALS LTD,30/08/2023,983503,0190980290000003076,80671.88,12907.5
WEETABIX E.A LTD,30/08/2023,IL2308000405,0110396600000011254,65678.94,10508.63
GREENFOREST FOODS,22/08/2023,54369,HTTPS://0430199200000007451,16327.38,2612.38
TRI CLOVER INDUSTRIES LTD,28/08/2023,270332,HTTPS://0110605590000015968,49923.63,7987.78
TROPIKAL BRANDS  AFRICA LTD,31/08/2023,INV123170,0040559290000013507,93549.5,14967.92
BROOKSIDE DAIRY,18/08/2023,2308181605,HTTPS://0040095410000323783,3698.38,591.74
WESTLANDS TRADING LTD,23/08/2023,93847,HTTPS://0430205210000007443,43457.44,6953.19
CHANDARIA INDUSTRIES LTD HYGIENE,30/08/2023,1549466,0110167020000177219,3452.56,552.41
DELMONTE KENYA LTD,25/08/2023,96686,HTTPS://0110168200000018046,16551.38,2648.22
LONDON DISTILLERS EA LTD,31/08/2023,EIN029924,HTTPS://0090968640000004786,13386.19,2141.79
BIO FOOD PRODUCTS LTD,31/08/2023,1062461,HTTPS://0190979930000003024,8894.5,1423.12
GOLD CROWN BEVERAGES,30/08/2023,153691,HTTPS://0040092890000017853,35504.63,5680.74
DPL FESTIVE  LIMITED,30/08/2023,5402662,0020108550000332634,2228.44,356.55
FAYAZ BAKERS LIMITED DIANI SHELF,31/08/2023,INV/2023/005415,HTTPS://0041411750000001979,8689.69,1390.35
BROOKSIDE DAIRY,27/08/2023,2308281377,HTTPS://0040095410000328983,76015.63,12162.5
BROOKSIDE DAIRY,26/08/2023,2308270733,HTTPS://0040095410000329558,8991.69,1438.67
BROOKSIDE DAIRY,26/08/2023,2308271607,HTTPS://0040095410000329561,2272.5,363.6
FINSBURY TRADING LIMITED MSA,29/08/2023,NIN74463,0110399950000021172,27573.06,4411.69
BLUE BUBBLE HOMECARE PRODUCTS,31/08/2023,BB-13409,HTTPS://0040421360000009288,17844.81,2855.17
ALPHAJIRI LIMITED SR,29/08/2023,AUG23-24FP,HTTPS://1821919640000000217,3977.56,636.41
DPL FESTIVE  LIMITED,31/08/2023,5402484,0020108550000332511,9528.75,1524.6
KIM FAY EAST AFRICA LTD,31/08/2023,IN587617,HTTPS://0110167480000043960,34845.38,5575.26
SUPER SAVERS DISTRIBUTION LTD,22/08/2023,NIN6249,0110399940000001455,77870.75,12459.32
BIO FOOD PRODUCTS LTD,29/08/2023,1062123,HTTPS://0190979930000002596,67809.25,10849.48
KIM FAY EAST AFRICA LTD,31/08/2023,IN587615,HTTPS://0110167480000043965,17422.69,2787.63
DPL FESTIVE  LIMITED,30/08/2023,5402492,0020108550000332516,6270.63,1003.3
KENCHIC FROZEN,31/08/2023,KSIN4689946,0020594590000081132,22391.75,3582.68
OZ FOODS AND BEVERAGES LTD,30/08/2023,22273,0110606400000001130,56965.38,9114.46
BURHANI BAKERS,30/08/2023,8871,HTTPS://0190329250000005039,3177.56,508.41
COCA COLA BEVERAGES  KENYA LTD,30/08/2023,1222330436,0110604280000068155,177477.75,28396.44
MIRAGE INDUSTRIES LTD,16/08/2023,14336,HTTPS://0190330930000000869,104577.31,16732.37
MIBISCO LTD,27/08/2023,360227,HTTPS://0171383770000000465,527.63,84.42
SUNPOWER PRODUCTS LTD,28/08/2023,1186055,HTTPS://0040091730000054283,18589.69,2974.35
CHANDARIA INDUSTRIES  LTD,25/08/2023,1544750.,0110167020000174351,103294.69,16527.15
SEVEN DAYS INTERNATIONAL K LTD,28/08/2023,10476,HTTPS://0041411240000001160,9931.0,1588.96
CHANDARIA INDUSTRIES LTD MACCOFFEE,29/08/2023,1543743,0110167020000173728,2738.06,438.09
AFRICAN COTTON INDUSTRIES LTD,25/08/2023,151649,0040075220000011866,137538.56,22006.17
SUNPOWER PRODUCTS LTD,24/08/2023,1185814,HTTPS://0040091730000054023,42590.63,6814.5
MERIT AFRICA LTD,22/08/2023,127254,0110164060000010995,2700.0,432.0
SAWAE BRANDS LIMITED SR,23/08/2023,SNV0037416,HTTPS://0171746270000002881,22287.25,3565.96
FARMERS CHOICE LTD DELI,22/08/2023,SI+N000290723,HTTPS://0090541490000058767,852.5,136.4
PROMASIDOR KENYA LTD,21/08/2023,000000000068738,HTTPS://0040072330000016535,4550.0,728.0
GROCER BOX LIMITED SR,28/08/2023,IN-2100139,0020115030000010208,12238.5,1958.16
GROCER BOX LIMITED SR,23/08/2023,IN-2100120,0020115040000000101,19804.75,3168.76
POLYTHENE INDUSTRIES LIMITED,16/08/2023,188362,0090969180000008544,12950.0,2072.0
GREEN BUSH  E.A CO,21/08/2023,1284,HTTPS://0040241370000000127,23689.69,3790.35
ALISON PRODUCTS LTD,28/08/2023,58624,HTTPS://0190978710000009807,4961.38,793.82
DPL FESTIVE  LIMITED,29/08/2023,5400018,0020115300000083856,5388.69,862.19
DPL FESTIVE  LIMITED,29/08/2023,5399931,0020115300000083838,6155.19,984.83
EUREKA NUTS LIMITED MEDIUM INDUSTRIAL,29/08/2023,10035,HTTPS://0040561540000002011,35022.56,5603.61
THERMOPAK LTD,30/08/2023,TP169950,0010194650000011739,42930.56,6868.89
TASTE AFRIQUE COMPANY LTD,16/08/2023,269859 AN,HTTPS://0041410180000000702,969.63,155.14
